,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
0,UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,True,True,True,True,True
1,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,False,False,True,True,True
2,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,True,True,True,False,True
3,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,True,True,True,True,True
4,UCvRAX-ujvZ0eTMLGG2vki9w,INQUIRER.net,False,True,True,True,True
5,UC83jt4dlz1Gjl58fzQrrKZg,CNA,True,True,True,True,True
6,UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,False,False,True,False,True
7,UCPgLNge0xqQHWM5B5EFH9Cg,The Telegraph,True,True,True,True,True
8,UCE2606prvXQc_noEqKxVJXA,ABS-CBN News,False,True,True,True,True
9,UC5664f6TkaeHgwBly50DWZQ,Manila Bulletin Online,True,True,False,False,True
10,UC16niRr50-MSBwiO3YDb3RA,BBC News,False,True,True,False,True
11,UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,True,True,True,True,True
12,UChLtXXpo4Ge1ReTEboVvTDg,Global News,True,True,True,False,True
13,UC_gUM8rL-Lrg6O3adPW9K1g,WION,False,True,True,True,True
14,UC3XaG-7UVi2vD8ZZEMNnnpw,UNTV News and Rescue,False,False,True,True,True
15,UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,False,True,True,False,True
16,UCSwwFP8hhA0Spah0ZUKZQVQ,UNICEF USA,True,True,True,False,True
17,UCvCZ0jX-J3Z-7jXtWzmv79w,UNICEF Philippines,True,True,True,True,True
18,UCgHMBsUeTBqZyG8dkGbbVKQ,TVUP,False,False,True,False,False
19,UCQfwfsi5VrQ8yKZ-UWmAEFg,FRANCE 24 English,True,True,True,True,True
20,UCJq1YV3cJbJNs_xxp5_P7vQ,Doctor Wessam Atif,False,False,False,False,False
21,UCVSNOxehfALut52NbkfRBaA,Voice of America,True,True,True,True,True
22,UCknLrEdhRCp1aegoMqRaCZg,DW News,False,True,True,True,True
23,UChirEOpgFCupRAk5etXqPaA,Bloomberg Quicktake,False,False,False,True,True
24,UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,False,True,True,True,False
25,UCoTrrnpqNOqR_yhrv6KIHiA,FEATR,False,True,False,False,True
26,UC4p_I9eiRewn2KoU-nawrDg,The Straits Times,False,False,True,True,False
27,UCz2MlDYRidHyyubC4r7dQcA,Behind Philippines,False,False,False,False,False
28,UCpWvshQVx1d7BqCsPnVuNIw,The Star,True,False,True,False,False
29,UC2-_WWPT_124iN6jiym4fOw,Asian Boss,False,False,False,False,False
30,UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,False,False,False,False,False
31,UCXTuTQZarVcFR_fgQXvsLpw,Gulf News,False,False,False,False,False
32,UCPdKjHVKCF-YFvqHyh9uzvA,Esco Lifesciences Group,False,False,True,True,True
